match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Sri Lanka Vs Bangladesh,Sri Lanka,1,Pathum Nissanka,41,36,8,0,113.88,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,2,Kusal Perera,4,5,1,0,80.00,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,3,Kusal Mendis (c),19,30,1,1,63.33,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,4,Sadeera Samarawickrama,41,42,4,0,97.61,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,5,Charith Asalanka,108,105,6,5,102.85,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,6,Angelo Mathews,0,0,0,0,-,not_out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,7,Dhananjaya de Silva,34,36,4,1,94.44,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,8,Maheesh Theekshana,21,31,3,0,67.74,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,9,Dushmantha Chameera,4,9,0,0,44.44,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,10,Kasun Rajitha,0,2,0,0,0.00,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,11,Dilshan Madushanka,0,1,0,0,0.00,not_out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,1,Tanzid Hasan,9,5,2,0,180.00,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,2,Litton Das,23,22,2,2,104.54,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,3,Najmul Hossain Shanto,90,101,12,0,89.10,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,4,Shakib Al Hasan (c),82,65,12,2,126.15,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,5,Mahmudullah,22,23,3,1,95.65,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,6,Mushfiqur Rahim,10,13,1,0,76.92,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,7,Towhid Hridoy,15,7,0,2,214.28,not_out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,8,Mehidy Hasan Miraz,3,5,0,0,60.00,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,9,Tanzim Hasan Sakib,5,6,1,0,83.33,not_out,ODI # 4695
South Africa Vs Australia,South Africa,1,Quinton de Kock,3,14,0,0,21.42,out,ODI # 4667
South Africa Vs Australia,South Africa,2,Temba Bavuma (c),0,4,0,0,0.00,out,ODI # 4667
South Africa Vs Australia,South Africa,3,Rassie van der Dussen,6,31,0,0,19.35,out,ODI # 4667
South Africa Vs Australia,South Africa,4,Aiden Markram,10,20,2,0,50.00,out,ODI # 4667
South Africa Vs Australia,South Africa,5,Heinrich Klaasen,47,48,4,2,97.91,out,ODI # 4667
South Africa Vs Australia,South Africa,6,David Miller,101,116,8,5,87.06,out,ODI # 4667
South Africa Vs Australia,South Africa,7,Marco Jansen,0,1,0,0,0.00,out,ODI # 4667
South Africa Vs Australia,South Africa,8,Gerald Coetzee,19,39,2,0,48.71,out,ODI # 4667
South Africa Vs Australia,South Africa,9,Keshav Maharaj,4,8,0,0,50.00,out,ODI # 4667
South Africa Vs Australia,South Africa,10,Kagiso Rabada,10,12,0,1,83.33,out,ODI # 4667
South Africa Vs Australia,South Africa,11,Tabraiz Shamsi,1,5,0,0,20.00,not_out,ODI # 4667
South Africa Vs Australia,Australia,1,Travis Head,62,48,9,2,129.16,out,ODI # 4667
South Africa Vs Australia,Australia,2,David Warner,29,18,1,4,161.11,out,ODI # 4667
South Africa Vs Australia,Australia,3,Mitchell Marsh,0,6,0,0,0.00,out,ODI # 4667
South Africa Vs Australia,Australia,4,Steven Smith,30,62,2,0,48.38,out,ODI # 4667
South Africa Vs Australia,Australia,5,Marnus Labuschagne,18,31,2,0,58.06,out,ODI # 4667
South Africa Vs Australia,Australia,6,Glenn Maxwell,1,5,0,0,20.00,out,ODI # 4667
South Africa Vs Australia,Australia,7,Josh Inglis,28,49,3,0,57.14,out,ODI # 4667
South Africa Vs Australia,Australia,8,Mitchell Starc,16,38,2,0,42.10,not_out,ODI # 4667
South Africa Vs Australia,Australia,9,Pat Cummins (c),14,29,2,0,48.27,not_out,ODI # 4667
India Vs Sri Lanka,India,1,Rohit Sharma (c),4,2,1,0,200.00,out,ODI # 4690
India Vs Sri Lanka,India,2,Shubman Gill,92,92,11,2,100.00,out,ODI # 4690
India Vs Sri Lanka,India,3,Virat Kohli,88,94,11,0,93.61,out,ODI # 4690
India Vs Sri Lanka,India,4,Shreyas Iyer,82,56,3,6,146.42,out,ODI # 4690
India Vs Sri Lanka,India,5,KL Rahul,21,19,2,0,110.52,out,ODI # 4690
India Vs Sri Lanka,India,6,Suryakumar Yadav,12,9,2,0,133.33,out,ODI # 4690
India Vs Sri Lanka,India,7,Ravindra Jadeja,35,24,1,1,145.83,out,ODI # 4690
India Vs Sri Lanka,India,8,Mohammed Shami,2,4,0,0,50.00,out,ODI # 4690
India Vs Sri Lanka,India,9,Jasprit Bumrah,1,1,0,0,100.00,not_out,ODI # 4690
India Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,0,1,0,0,0.00,out,ODI # 4690
India Vs Sri Lanka,Sri Lanka,2,Dimuth Karunaratne,0,1,0,0,0.00,out,ODI # 4690
India Vs Sri Lanka,Sri Lanka,3,Kusal Mendis (c),1,10,0,0,10.00,out,ODI # 4690
India Vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama,0,4,0,0,0.00,out,ODI # 4690
India Vs Sri Lanka,Sri Lanka,5,Charith Asalanka,1,24,0,0,4.16,out,ODI # 4690
India Vs Sri Lanka,Sri Lanka,6,Angelo Mathews,12,25,1,0,48.00,out,ODI # 4690
India Vs Sri Lanka,Sri Lanka,7,Dushan Hemantha,0,1,0,0,0.00,out,ODI # 4690
India Vs Sri Lanka,Sri Lanka,8,Dushmantha Chameera,0,6,0,0,0.00,out,ODI # 4690
India Vs Sri Lanka,Sri Lanka,9,Maheesh Theekshana,12,23,2,0,52.17,not_out,ODI # 4690
India Vs Sri Lanka,Sri Lanka,10,Kasun Rajitha,14,17,2,0,82.35,out,ODI # 4690
India Vs Sri Lanka,Sri Lanka,11,Dilshan Madushanka,5,6,1,0,83.33,out,ODI # 4690
India Vs Australia,India,1,Rohit Sharma (c),47,31,4,3,151.61,out,ODI # 4662
India Vs Australia,India,2,Shubman Gill,4,7,0,0,57.14,out,ODI # 4662
India Vs Australia,India,3,Virat Kohli,54,63,4,0,85.71,out,ODI # 4662
India Vs Australia,India,4,Shreyas Iyer,4,3,1,0,133.33,out,ODI # 4662
India Vs Australia,India,5,KL Rahul,66,107,1,0,61.68,out,ODI # 4662
India Vs Australia,India,6,Ravindra Jadeja,9,22,0,0,40.90,out,ODI # 4662
India Vs Australia,India,7,Suryakumar Yadav,18,28,1,0,64.28,out,ODI # 4662
India Vs Australia,India,8,Mohammed Shami,6,10,1,0,60.00,out,ODI # 4662
India Vs Australia,India,9,Jasprit Bumrah,1,3,0,0,33.33,out,ODI # 4662
India Vs Australia,India,10,Kuldeep Yadav,10,18,0,0,55.55,out,ODI # 4662
India Vs Australia,India,11,Mohammed Siraj,9,8,1,0,112.50,not_out,ODI # 4662
India Vs Australia,Australia,1,David Warner,7,3,1,0,233.33,out,ODI # 4662
India Vs Australia,Australia,2,Travis Head,137,120,15,4,114.16,out,ODI # 4662
India Vs Australia,Australia,3,Mitchell Marsh,15,15,1,1,100.00,out,ODI # 4662
India Vs Australia,Australia,4,Steven Smith,4,9,1,0,44.44,out,ODI # 4662
India Vs Australia,Australia,5,Marnus Labuschagne,58,110,4,0,52.72,not_out,ODI # 4662
India Vs Australia,Australia,6,Glenn Maxwell,2,1,0,0,200.00,not_out,ODI # 4662
England Vs Pakistan,England,1,Dawid Malan,31,39,5,0,79.48,out,ODI # 4701
England Vs Pakistan,England,2,Jonny Bairstow,59,61,7,1,96.72,out,ODI # 4701
England Vs Pakistan,England,3,Joe Root,60,72,4,0,83.33,out,ODI # 4701
England Vs Pakistan,England,4,Ben Stokes,84,76,11,2,110.52,out,ODI # 4701
England Vs Pakistan,England,5,Jos Buttler (c),27,18,3,1,150.00,out,ODI # 4701
England Vs Pakistan,England,6,Harry Brook,30,17,2,2,176.47,out,ODI # 4701
England Vs Pakistan,England,7,Moeen Ali,8,6,0,1,133.33,out,ODI # 4701
England Vs Pakistan,England,8,Chris Woakes,4,4,1,0,100.00,not_out,ODI # 4701
England Vs Pakistan,England,9,David Willey,15,5,2,1,300.00,out,ODI # 4701
England Vs Pakistan,England,10,Gus Atkinson,0,1,0,0,0.00,out,ODI # 4701
England Vs Pakistan,England,11,Adil Rashid,0,1,0,0,0.00,not_out,ODI # 4701
England Vs Pakistan,Pakistan,1,Abdullah Shafique,0,2,0,0,0.00,out,ODI # 4701
England Vs Pakistan,Pakistan,2,Fakhar Zaman,1,9,0,0,11.11,out,ODI # 4701
England Vs Pakistan,Pakistan,3,Babar Azam (c),38,45,6,0,84.44,out,ODI # 4701
England Vs Pakistan,Pakistan,4,Mohammad Rizwan,36,51,2,0,70.58,out,ODI # 4701
England Vs Pakistan,Pakistan,5,Saud Shakeel,29,37,4,0,78.37,out,ODI # 4701
England Vs Pakistan,Pakistan,6,Agha Salman,51,45,6,1,113.33,out,ODI # 4701
England Vs Pakistan,Pakistan,7,Iftikhar Ahmed,3,5,0,0,60.00,out,ODI # 4701
England Vs Pakistan,Pakistan,8,Shadab Khan,4,7,1,0,57.14,out,ODI # 4701
England Vs Pakistan,Pakistan,9,Shaheen Shah Afridi,25,23,3,1,108.69,out,ODI # 4701
England Vs Pakistan,Pakistan,10,Mohammad Wasim,16,14,2,1,114.28,not_out,ODI # 4701
England Vs Pakistan,Pakistan,11,Haris Rauf,35,23,3,3,152.17,out,ODI # 4701
Bangladesh Vs Australia,Bangladesh,1,Tanzid Hasan,36,34,6,0,105.88,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,2,Litton Das,36,45,5,0,80.00,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,3,Najmul Hossain Shanto (c),45,57,6,0,78.94,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,4,Towhid Hridoy,74,79,5,2,93.67,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,5,Mahmudullah,32,28,1,3,114.28,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,6,Mushfiqur Rahim,21,24,0,1,87.50,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,7,Mehidy Hasan Miraz,29,20,4,0,145.00,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,8,Nasum Ahmed,7,11,0,0,63.63,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,9,Mahedi Hasan,2,3,0,0,66.66,not_out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,10,Taskin Ahmed,0,1,0,0,0.00,not_out,ODI # 4700
Bangladesh Vs Australia,Australia,1,Travis Head,10,11,2,0,90.90,out,ODI # 4700
Bangladesh Vs Australia,Australia,2,David Warner,53,61,6,0,86.88,out,ODI # 4700
Bangladesh Vs Australia,Australia,3,Mitchell Marsh,177,132,17,9,134.09,not_out,ODI # 4700
Bangladesh Vs Australia,Australia,4,Steven Smith,63,64,4,1,98.43,not_out,ODI # 4700
Afghanistan Vs South Africa,Afghanistan,1,Rahmanullah Gurbaz,25,22,3,1,113.63,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,2,Ibrahim Zadran,15,30,3,0,50.00,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,3,Rahmat Shah,26,46,2,0,56.52,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,4,Hashmatullah Shahidi (c),2,7,0,0,28.57,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,5,Azmatullah Omarzai,97,107,7,3,90.65,not_out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,6,Ikram Alikhil,12,14,1,1,85.71,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,7,Mohammad Nabi,2,3,0,0,66.66,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,8,Rashid Khan,14,30,0,0,46.66,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,9,Noor Ahmad,26,32,4,0,81.25,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,10,Mujeeb Ur Rahman,8,5,0,1,160.00,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,11,Naveen-ul-Haq,2,4,0,0,50.00,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,1,Quinton de Kock,41,47,2,3,87.23,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,2,Temba Bavuma (c),23,28,3,0,82.14,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,3,Rassie van der Dussen,76,95,6,1,80.00,not_out,ODI # 4699
Afghanistan Vs South Africa,South Africa,4,Aiden Markram,25,32,1,1,78.12,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,5,Heinrich Klaasen,10,13,1,0,76.92,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,6,David Miller,24,33,1,1,72.72,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,7,Andile Phehlukwayo,39,37,1,3,105.40,not_out,ODI # 4699
India Vs New Zealand,India,1,Rohit Sharma (c),47,29,4,4,162.06,out,ODI # 4678
India Vs New Zealand,India,2,Shubman Gill,80,66,8,3,121.21,not_out,ODI # 4678
India Vs New Zealand,India,3,Virat Kohli,117,113,9,2,103.53,out,ODI # 4678
India Vs New Zealand,India,4,Shreyas Iyer,105,70,4,8,150.00,out,ODI # 4678
India Vs New Zealand,India,5,KL Rahul,39,20,5,2,195.00,not_out,ODI # 4678
India Vs New Zealand,India,6,Suryakumar Yadav,1,2,0,0,50.00,out,ODI # 4678
India Vs New Zealand,New Zealand,1,Devon Conway,13,15,3,0,86.66,out,ODI # 4678
India Vs New Zealand,New Zealand,2,Rachin Ravindra,13,22,3,0,59.09,out,ODI # 4678
India Vs New Zealand,New Zealand,3,Kane Williamson (c),69,73,8,1,94.52,out,ODI # 4678
India Vs New Zealand,New Zealand,4,Daryl Mitchell,134,119,9,7,112.60,out,ODI # 4678
India Vs New Zealand,New Zealand,5,Tom Latham,0,2,0,0,0.00,out,ODI # 4678
India Vs New Zealand,New Zealand,6,Glenn Phillips,41,33,4,2,124.24,out,ODI # 4678
India Vs New Zealand,New Zealand,7,Mark Chapman,2,5,0,0,40.00,out,ODI # 4678
India Vs New Zealand,New Zealand,8,Mitchell Santner,9,10,0,0,90.00,out,ODI # 4678
India Vs New Zealand,New Zealand,9,Tim Southee,9,10,1,0,90.00,out,ODI # 4678
India Vs New Zealand,New Zealand,10,Trent Boult,2,2,0,0,100.00,not_out,ODI # 4678
India Vs New Zealand,New Zealand,11,Lockie Ferguson,6,3,0,1,200.00,out,ODI # 4678
Australia Vs New Zealand,Australia,1,David Warner,81,65,5,6,124.61,out,ODI # 4684
Australia Vs New Zealand,Australia,2,Travis Head,109,67,10,7,162.68,out,ODI # 4684
Australia Vs New Zealand,Australia,3,Mitchell Marsh,36,51,2,0,70.58,out,ODI # 4684
Australia Vs New Zealand,Australia,4,Steven Smith,18,17,2,0,105.88,out,ODI # 4684
Australia Vs New Zealand,Australia,5,Marnus Labuschagne,18,26,2,0,69.23,out,ODI # 4684
Australia Vs New Zealand,Australia,6,Glenn Maxwell,41,24,5,2,170.83,out,ODI # 4684
Australia Vs New Zealand,Australia,7,Josh Inglis,38,28,4,1,135.71,out,ODI # 4684
Australia Vs New Zealand,Australia,8,Pat Cummins (c),37,14,2,4,264.28,out,ODI # 4684
Australia Vs New Zealand,Australia,9,Mitchell Starc,1,3,0,0,33.33,out,ODI # 4684
Australia Vs New Zealand,Australia,10,Adam Zampa,0,3,0,0,0.00,out,ODI # 4684
Australia Vs New Zealand,Australia,11,Josh Hazlewood,0,0,0,0,-,not_out,ODI # 4684
Australia Vs New Zealand,New Zealand,1,Devon Conway,28,17,6,0,164.70,out,ODI # 4684
Australia Vs New Zealand,New Zealand,2,Will Young,32,37,4,1,86.48,out,ODI # 4684
Australia Vs New Zealand,New Zealand,3,Rachin Ravindra,116,89,9,5,130.33,out,ODI # 4684
Australia Vs New Zealand,New Zealand,4,Daryl Mitchell,54,51,6,1,105.88,out,ODI # 4684
